# .test .cputime .temperature .time_mat1 .time_mat2
151 0.120767  3.409 0.000759 0.000937
152 0.121103  3.409 0.000790 0.000906
153 0.121733  2.922 0.000779 0.000926
154 0.121708  1.948 0.000809 0.000929
155 0.124065  1.948 0.000849 0.000951
156 0.123745  2.435 0.000832 0.000955
157 0.125369  2.435 0.000820 0.000975
158 0.125564  3.409 0.000853 0.000982
159 0.126701  2.922 0.000842 0.001003
160 0.127258  2.922 0.000872 0.001064
161 0.128507  2.922 0.000879 0.001041
162 0.130154  3.896 0.000896 0.001031
163 0.131325  3.896 0.000958 0.001053
164 0.130628  3.409 0.000921 0.001054
165 0.131142  3.896 0.000924 0.001077
166 0.131853  4.383 0.000984 0.001081
167 0.133005  2.922 0.000947 0.001151
168 0.134197  3.409 0.001028 0.001110
169 0.135409  2.435 0.000969 0.001134
170 0.134656  4.383 0.000982 0.001191
171 0.135651  2.435 0.000998 0.001159
172 0.135857  2.922 0.001003 0.001237
173 0.137331  2.922 0.001020 0.001245
174 0.139723  4.383 0.001027 0.001200
175 0.139782  2.922 0.001040 0.001248
176 0.140569  3.896 0.001053 0.001278
177 0.141128  4.383 0.001067 0.001290
178 0.141262  3.409 0.001075 0.001302
179 0.142477  4.383 0.001090 0.001307
180 0.143954  4.383 0.001097 0.001281
181 0.145570  4.383 0.001115 0.001308
182 0.145444  3.896 0.001124 0.001354
183 0.145513  3.409 0.001138 0.001370
184 0.146282  3.896 0.001174 0.001353
185 0.147125  3.409 0.001169 0.001358
186 0.147570  3.409 0.001213 0.001385
187 0.148463  2.922 0.001193 0.001429
188 0.149159  4.870 0.001181 0.001448
189 0.149776  4.383 0.001272 0.001414
190 0.150637  3.409 0.001210 0.001445
191 0.151586  4.870 0.001306 0.001451
192 0.152061  3.896 0.001232 0.001520
193 0.152519  4.383 0.001269 0.001528
194 0.153470  3.409 0.001259 0.001539
195 0.154468  4.870 0.001301 0.001528
196 0.154993  3.896 0.001284 0.001584
197 0.156108  3.409 0.001324 0.001599
198 0.156995  3.409 0.001312 0.001686
199 0.157594  4.383 0.001396 0.001578
200 0.158227  3.896 0.001336 0.001607
201 0.159249  3.896 0.001426 0.001620
202 0.159901  4.383 0.001364 0.001686
203 0.161128  3.409 0.001407 0.001681
204 0.161471  3.896 0.001437 0.001673
205 0.163423  4.383 0.001434 0.001734
206 0.163255  3.896 0.001422 0.001712
207 0.164763  4.870 0.001460 0.001750
208 0.164524  3.896 0.001448 0.001796
209 0.165985  3.896 0.001535 0.001766
210 0.166347  3.409 0.001476 0.001780
211 0.167030  4.383 0.001555 0.001789
212 0.167837  4.870 0.001567 0.001805
213 0.168851  4.383 0.001592 0.001823
214 0.169328  4.870 0.001555 0.001863
215 0.170492  4.870 0.001568 0.001917
216 0.170995  4.870 0.001584 0.001946
217 0.172446  4.870 0.001601 0.001995
218 0.171991  4.870 0.001621 0.001982
219 0.173774  4.870 0.001690 0.001944
220 0.174253  3.896 0.001642 0.002069
221 0.175133  3.896 0.001666 0.002024
222 0.175404  4.870 0.001718 0.002022
223 0.176928  5.357 0.001690 0.002096
224 0.176810  4.383 0.001712 0.002141
225 0.177947  4.870 0.001765 0.002077
226 0.178583  4.383 0.001738 0.002133
227 0.179489  5.357 0.001748 0.002200
228 0.179761  4.383 0.001775 0.002187
229 0.180987  4.870 0.001827 0.002156
230 0.181462  4.383 0.001804 0.002268
231 0.182464  4.383 0.001858 0.002208
232 0.182936  5.357 0.001875 0.002231
233 0.184154  3.896 0.001890 0.002238
234 0.184517  5.357 0.001867 0.002357
235 0.185276  5.357 0.001907 0.002299
236 0.186266  5.357 0.001900 0.002400
237 0.187607  4.383 0.001889 0.002424
238 0.188318  4.383 0.001990 0.002359
239 0.188163  4.383 0.001972 0.002405
240 0.191163  4.870 0.002032 0.002411
241 0.190777  5.357 0.002001 0.002430
242 0.191279  6.331 0.002049 0.002460
243 0.191699  4.383 0.002039 0.002488
244 0.193127  4.383 0.002067 0.002615
245 0.193417  5.357 0.002070 0.002533
246 0.193605  4.870 0.002074 0.002631
247 0.195968  5.357 0.002119 0.002609
248 0.196291  5.357 0.002104 0.002703
249 0.197325  5.844 0.002144 0.002657
250 0.198137  5.357 0.002142 0.002736
251 0.199057  5.844 0.002184 0.002725
252 0.199526  4.383 0.002232 0.002746
253 0.200448  5.357 0.002167 0.002871
254 0.201472  5.357 0.002279 0.002818
255 0.214476  5.357 0.002265 0.002865
256 0.203848  4.383 0.002244 0.002956
257 0.216574  4.870 0.002325 0.002875
258 0.204736  4.870 0.002284 0.003008
259 0.206344  5.357 0.002259 0.003035
260 0.206311  4.870 0.002322 0.003077
261 0.207451  4.870 0.002309 0.003082
262 0.207163  4.870 0.002411 0.003020
263 0.207692  5.844 0.002424 0.003124
264 0.209522  4.870 0.002436 0.003127
265 0.210286  4.870 0.002474 0.003166
266 0.210896  5.844 0.002430 0.003269
267 0.212254  5.357 0.002488 0.003207
268 0.212658  4.870 0.002473 0.003287
269 0.213938  5.357 0.002485 0.003294
270 0.213120  5.357 0.002505 0.003302
271 0.214120  4.870 0.002503 0.003390
272 0.214962  5.357 0.002609 0.003303
273 0.216274  5.844 0.002567 0.003502
274 0.217049  4.870 0.002637 0.003479
275 0.218173  5.844 0.002605 0.003548
276 0.217508  4.870 0.002591 0.003572
277 0.218515  6.331 0.002642 0.003543
278 0.220509  5.357 0.002662 0.003716
279 0.220301  4.870 0.002748 0.003615
280 0.222230  4.870 0.002697 0.003711
281 0.222401  6.331 0.002724 0.003700
282 0.223434  6.331 0.002798 0.003733
283 0.224319  5.844 0.002841 0.003712
284 0.223763  5.357 0.002839 0.003745
285 0.225305  5.844 0.002859 0.003746
286 0.225775  5.844 0.002833 0.003830
287 0.227104  5.844 0.002861 0.003917
288 0.226935  5.844 0.002870 0.003861
289 0.227482  5.357 0.002899 0.003960
290 0.229361  6.331 0.002899 0.003970
291 0.229559  5.357 0.002974 0.003963
292 0.230311  6.331 0.002957 0.004071
